입학년도,교과군,과목명,학교지정,학년선택,공통,일반선택,진로선택,융합선택,학생선택,기본학점,1-1학기,1-2학기,2-1학기,2-2학기,3-1학기,3-2학기
2026,사회(역사/도덕 포함),세계시민과 지리,,○,,○,,,,,,4,,,,,,,3,,,,,
2026,사회(역사/도덕 포함),경제,,○,,,○,,,,,4,,,,,,,3,,,,,
2026,사회(역사/도덕 포함),정치,,○,,,○,,,,,4,,,,,,,3,,,,,
2026,과학,역학과 에너지,,○,,,○,,,,,4,,,,,,,3,,,,○,
2026,과학,물질과 에너지,,○,,,○,,,,,4,,,,,,,3,,,,○,
2026,과학,세포와 물질대사,,○,,,○,,,,,4,,,,,,,3,,,,○,
2026,과학,지구시스템과학,,○,,,○,,,,,4,,,,,,,3,,,,○,
2026,국어,문학과 영상,,○,,,○,,,택4(3),,4,,,,,12 ,,3,12,,,,
2026,수학,미적분Ⅱ,,○,,,○,,,,,4,,,,,,,3,,,○,,
2026,수학,고급 대수,,○,,,○,,표6,,,4,,,,,,,3,,,○,,
2026,영어,영미 문학 읽기,,○,,,○,,,,,4,,,,,,,3,,,,,
2026,사회(역사/도덕 포함),역사로 탐구하는 현대 세계,,○,,,,○,,,,4,,,,,,,3,,,,,
2026,사회(역사/도덕 포함),여행지리,,○,,,,○,,,,4,,,,,,,3,,,,,
2026,사회(역사/도덕 포함),사회문제 탐구,,○,,,,○,,,,4,,,,,,,3,,,,,
2026,사회(역사/도덕 포함),윤리문제 탐구,,○,,,,○,,,,4,,,,,,,3,,,,,
2026,과학,전자기와 양자,,○,,,○,,,,,4,,,,,,,3,,,,○,
2026,과학,화학 반응의 세계,,○,,,○,,,,,4,,,,,,,3,,,,○,
2026,과학,생물의 유전,,○,,,○,,,,,4,,,,,,,3,,,,○,
2026,과학,행성우주과학,,○,,,○,,,,,4,,,,,,,3,,,,○,
2026,과학,융합과학 탐구,,○,,,,○,,,,4,,,,,,,3,,,,○,
2026,과학,고급 물리학,,○,,,○,,표6,,,4,,,,,,,3,,,,○,
2026,과학,고급 화학,,○,,,○,,표6,,,4,,,,,,,3,,,,○,
2026,정보,인공지능 기초,,○,,,○,,,,,4,,,,,,,3,,,,,
2026,제2외국어/한문,중국 문화,,○,,,,○,,,,4,,,,,,,3,,,,,
2026,제2외국어/한문,일본 문화,,○,,,,○,,,,4,,,,,,,3,,,,,
2026,제2외국어/한문,한문 고전 읽기,,○,,,○,,,,,4,,,,,,,3,,,,,
2026,체육,운동과 건강,,○,,,○,,,,,3,,,,,,,3,,,,,
2026,예술,음악과 미디어,,○,,,,○,,,,3,,,,,,,3,,,,,
2026,예술,미술과 매체,,○,,,,○,,,,3,,,,,,,3,,,,,
2026,예술,음악 연주와 창작,,○,,,○,,,택1(2),,3,,,,,2 ,,2 ,2,,,,
2026,예술,미술 창작,,○,,,○,,,,,3,,,,,,,2,,,,,
2026,예술,음악 감상과 비평,,○,,,○,,,,택1(2),3,,,,,,2 ,2,2,,,,
2026,예술,미술 감상과 비평,,○,,,○,,,,,3,,,,,,,2,,,,,
2026,국어,독서 토론과 글쓰기,,○,,,,○,,,택3(3),4,,,,,,9 ,3,9,,,,
2026,수학,고급 미적분,,○,,,○,,표6,,,4,,,,,,,3,,,○,,
2026,수학,수학과제 탐구,,○,,,,○,,,,4,,,,,,,3,,,○,,
2026,영어,실생활 영어 회화,,○,,,,○,,,,4,,,,,,,3,,,,,
2026,정보,소프트웨어와 생활,,○,,,○,,,,,4,,,,,,,3,,,,,
2026,제2외국어/한문,심화 중국어,,○,,,○,,,,,4,,,,,,,3,,,,,
2026,제2외국어/한문,심화 일본어,,○,,,○,,,,,4,,,,,,,3,,,,,
2026,제2외국어/한문,한문 고전 읽기,,○,,,○,,,,,4,,,,,,,3,,,,,
2026,체육,기초 체육 전공 실기,,○,,,○,,표6,,,3,,,,,,,3,,,,,
2026,예술,미술 전공 실기,,○,,,○,,표6,,,3,,,,,,,3,,,,,
2026,예술,음악 이론,,○,,,○,,표6,,,3,,,,,,,3,,,,,
2026,사회(역사/도덕 포함),역사로 탐구하는 현대 세계,,○,,,,○,,,택3(3),4,,,,,,9 ,3,9,,,,
2026,사회(역사/도덕 포함),기후변화와 지속가능한 세계,,○,,,,○,,,,4,,,,,,,3,,,,,
2026,사회(역사/도덕 포함),금융과 경제생활,,○,,,,○,,,,4,,,,,,,3,,,,,
2026,사회(역사/도덕 포함),인문학과 윤리,,○,,,○,,,,,4,,,,,,,3,,,,,
